"no","title","content","pic","startdate","enddate"
12,공짜는 있다!,"<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/free1.jpg"" style=""height:510px; width:700px"" /></p>

<p>&nbsp;</p>

<h2>투어랜드에서 야심차게 준비한 이벤트입니다!!</h2>

<h2>&nbsp;</h2>

<h2>힘든 시기를 함께 극복해나갑시다.</h2>

<h2>&nbsp;</h2>

<h2>6박 7일 패키지 상품을 구매하신 고객님에 한해&nbsp;</h2>

<h2>후기 게시물을 남겨주시면</h2>

<h2>추첨을 통해&nbsp;</h2>

<h2>2박 3일 제주 패키지 상품권을 무료로 제공해드립니다.</h2>

<h2>&nbsp;</h2>

<h2>많은 참여 부탁드립니다.</h2>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/free2.jpg"" style=""height:628px; width:700px"" /></p>
",/2020/05/14/1a54f3b1-6664-4fc2-af95-9ab89f8bb921_free1.jpg,"2020-01-01","2060-01-01",
11,면세점 이벤트,"<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/dutyfree.jpg"" style=""height:655px; width:700px"" /></p>

<h2><big><cite>투어랜드 고객님께만 드리는 특별혜택!!</cite></big></h2>

<h2><big><cite>선불 상품권을 드립니다.</cite></big></h2>

<h2><big><cite>패키지 신청 후&nbsp; 별도의 신청 과정 없이</cite></big></h2>

<h2><big><cite>핸드폰으로 안내 문자를 드리니&nbsp;</cite></big></h2>

<h2><big><cite>투어랜드에서 상품 구매 하시고&nbsp;</cite></big></h2>

<h2><big><cite>혜택 누려보세요</cite></big></h2>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/gift.jpg"" style=""height:497px; width:700px"" /></p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/gift2.jpg"" style=""height:467px; width:700px"" /></p>
",/2020/05/14/968450be-1cbc-4fdb-b3e1-49374cab9105_dutyfree.jpg,"2020-01-01","2050-12-01",
10,겨울여행 미리준비하자,"<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/winter2.jpg"" style=""height:483px; width:700px"" /></p>

<h2>&nbsp;</h2>

<h2><strong>얼리버드 여행 이벤트!!</strong></h2>

<h2><strong>여름부터 겨울 여행을 준비하는 고객님과 투어랜드가 함께!!</strong></h2>

<p>&nbsp;</p>

<p>결제까지 마치신 고객님들께 개별적으로 소정의 상품을 발송드리고 있습니다.</p>

<p>&nbsp;</p>

<p>많은 참여 부탁드립니다.</p>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/winter3.jpg"" style=""height:527px; width:700px"" /></p>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/winter5.jpg"" style=""height:434px; width:700px"" /></p>
",/2020/05/13/246d8dc6-3be1-448d-a670-e7bf7cd6d251_winter2.jpg,"2020-09-01","2021-03-03",
9,발렌타인 기념 이벤트 ,"<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/abstract-4795487_1280.png"" style=""height:466px; width:700px"" /></p>

<p>&nbsp;</p>

<p>달달한 초콜렛 먹을 준비 되셨나요!</p>

<p>투어랜드에서 준비한 발렌타인 기념 이벤트</p>

<p>초콜렛을 챙겨줄 짝이 없어도 이번에는 투어랜드가 챙겨드릴게요!</p>

<p>이벤트기간 내에 패키지 상품을 구매한 모든 분들께&nbsp;</p>

<p>초콜렛 기프티콘을 드립니다.</p>

<p>&nbsp;</p>

<p>기프티콘은 이벤트 종료 후 2주 뒤에 일괄 발송 됩니다.</p>

<p>기프티콘을 받으신 후 부득이한 사정으로 결제를 취소하시는 경우</p>

<p>차액이 발생 할 수 있습니다.</p>

<p>&nbsp;</p>

<p>기타 문의 사항은 고객센터에 글을 남겨주세요</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/val.jpg"" style=""height:450px; width:700px"" /><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/val2.jpg"" style=""height:484px; width:700px"" /></p>
",/2020/05/13/69945ce3-2b07-42ba-86bb-e237162961f5_abstract-4795487_1280.png,"2020-02-01","2020-02-20",
8,롯데카드 결제 이벤트,"<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/ddddddd.jpg"" style=""height:471px; width:700px"" /></p>

<p>롯데카드 결제 이벤트&nbsp;</p>

<p>최대 6개월 무이자 할부!</p>

<p>&nbsp;</p>

<p>상품 금액이 부담스러우시다구요??</p>

<p>나눠내기로 부담을 줄여보아요!!</p>

<p>&nbsp;</p>

<p>&nbsp;</p>
",/2020/05/13/77053022-eb46-4181-a379-23fee314c2e2_ddddddd.jpg,"2020-01-01","2025-01-01",
7,추억 공유 이벤트,"<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/people-2567915_1280.jpg"" style=""height:466px; width:700px"" /></p>

<p>&nbsp;</p>

<p><strong>투어랜드와 함께한 여행이 어떠셨나요?</strong></p>

<p><strong>고객님들의 추억을 공유해주세요</strong></p>

<p><strong>SNS에 투어랜드 패키지 상품 소개와 함께 글을 올리시고</strong></p>

<p><strong>고객의 소리 게시판에&nbsp; 링크를 남겨주시면&nbsp;</strong></p>

<p><strong>담당 직원이 확인 후 감사의 마음을 담아 소정의 상품을 드립니다.&nbsp;</strong></p>

<p><strong>많은 참여 부탁드립니다.&nbsp;</strong></p>

<p><strong>링크가 조회되지 않을경우 경품 지급에 차질이 생길 수 있으니&nbsp;</strong></p>

<p><strong>꼭 전체공개로 게시물을 작성하신후 링크를 남겨주세요&nbsp;</strong></p>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/girls-1209321_1280.jpg"" style=""height:466px; width:700px"" /></p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/people-4050698_1280.jpg"" style=""height:466px; width:700px"" /></p>
",/2020/05/13/e40902e9-e30f-45a5-ba35-ce872de009d3_people-2567915_1280.jpg,"2020-01-01","2022-02-22",
6,생일인 고객님들 주목!,"<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/birthday-3148707_1280.png"" style=""height:700px; width:700px"" /></p>

<p>&nbsp;</p>

<p>HAPPY BIRTHDAY TO YOU</p>

<p>HAPPY BIRTHDAY TO YOU~!</p>

<p>고객님 생일을 진심으로 축하드립니다.</p>

<p>투어랜드 고객 한분한분의 생일을 축하하는 의미로</p>

<p>이벤트를 진행합니다.</p>

<p>이벤트 기간동안 생일이신 고객님이 패키지 상품을 구매하실 경우</p>

<p>공항에서 소정의 상품을 드립니다.</p>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/BDAY.jpg"" style=""height:422px; width:700px"" /></p>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/BDAY2.jpg"" style=""height:479px; width:700px"" /></p>
",/2020/05/13/f4e1b0a6-0f98-444b-981d-3aa70ad21a32_birthday-3148707_1280.png,"2020-01-01","2020-12-01",
5,신규고객 첫구매 이벤트,"<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/event1.jpg"" style=""height:557px; width:700px"" /></p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/starbucks.jpg"" style=""height:459px; width:700px"" /></p>

<p>&nbsp;</p>

<p>투어랜드는 신규 고객님들을 환영합니다.</p>

<p>함께 추억을 만들어갈 고객님들께 무조건!</p>

<p>스타벅스 기프티콘을 증정합니다.&nbsp;</p>

<p>단, 여권 번호를 기입해주셔야합니다.</p>

<p>등록된 회원번호로 가입하신 후 한달 뒤에 기프티콘을 보내드리오니</p>

<p>연락처를 정확하게 기재해주세요</p>

<p>&nbsp;</p>

<p>단, 기프티콘에 기재된 음료외에 금액권으로 사용하실 수 있습니다.</p>

<p>추가 문의사항은 고객센터에 글을 남겨주세요</p>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/starbucks2.jpg"" style=""height:446px; width:700px"" /></p>

<p>&nbsp;</p>
",/2020/05/13/865abf7d-d56b-4653-a76f-e12178b52eff_event1.jpg,"2020-05-01","2026-05-01",
4,크리스마스도 투어랜드와함께,"<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/christmas.jpg"" style=""height:486px; width:700px"" /></p>

<p>겨울 하면 크리스마스를 빼놓을 수 없죠</p>

<p>투어랜드에서 준비한 크리스마스 이벤트&nbsp;</p>

<p>크리스마스 전후 이벤트 기간 동안 패키지 상품을 구매하시는&nbsp;</p>

<p>고객님들과 함께하는 이벤트입니다.</p>

<p>&nbsp;</p>

<p>소정의 상품을 드립니다.</p>

<p>크리스마스 함께 보내요 우리~</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/christmas2.jpg"" style=""height:465px; width:700px"" /></p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/winter.jpg"" style=""height:405px; width:700px"" /></p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/christmas3.jpg"" style=""height:469px; width:700px"" /></p>
",/2020/05/13/0650b1b4-cb47-41fe-9e4d-d872a391dde3_christmas.jpg,"2019-12-20","2019-12-31",
3,더위를 날리자!,"<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/icecream.jpg"" style=""height:1128px; width:700px"" /></p>

<p>한여름이 다가옵니다.&nbsp;</p>

<p>투어랜드에서 준비한 간식 먹고 더위를 이겨냅시다.</p>

<p>SNS에 투어랜드 상품을 홍보해주세요.&nbsp;</p>

<p>URL주소를 남겨주시면&nbsp;</p>

<p>직원이 확인하는대로 1주일 안에 맛있는 콘 아이스크림 기프티콘을 보내드립니다.</p>

<p>회원정보에 등록된 연락처로 보내드리니&nbsp;</p>

<p>정확한 정보를 기재해 주세요</p>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/icecream2.jpg"" style=""height:481px; width:700px"" /></p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/icecream3.jpg"" style=""height:458px; width:700px"" /></p>
",/2020/05/13/b5135d6e-a2b6-4582-96ae-9ac37441fd57_icecream3.jpg,"2020-05-01","2020-09-30",
2,커플여행은 투어랜드,"<p><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/주석 2020-05-13 131020.jpg"" style=""height:700px; width:700px"" /></strong></p>

<p>&nbsp;</p>

<p><strong>함께 떠날 연인이 있으신가요?</strong></p>

<p><strong>투어랜드 패키지 여행을 떠나보세요.</strong></p>

<p><strong>커플 전용 이벤트로&nbsp;</strong></p>

<p><strong>멋진 추억까지 만들어보세요&nbsp;</strong></p>

<p><strong>공항에 마련된 부스에서 선불카드는 물론 </strong></p>

<p><strong>소정의 상품도 드립니다.&nbsp;</strong></p>

<p>&nbsp;</p>

<p><strong>이 이벤트는 조기 종료 될 수 있습니다.&nbsp;</strong></p>

<p>&nbsp;</p>

<p><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/hearts-47187_1280.png"" style=""height:458px; width:700px"" /></strong></p>

<p>&nbsp;</p>

<p><strong><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/LOVE.jpg"" style=""height:466px; width:700px"" /></strong></p>

<p>&nbsp;</p>

<p><strong>문의 사항은 고객센터에 남겨주세요</strong></p>

<p>&nbsp;</p>
",/2020/05/13/28804039-4c78-427d-9316-c68810ccf1ae_주석_2020-05-13_131020.jpg,"2020-01-01","2060-01-01",
1,구급키트 증정,"<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/event2.jpg"" style=""height:553px; width:700px"" /></p>

<p>&nbsp;</p>

<p><em><strong>포스트 코로나시대!</strong></em></p>

<p><em><strong>여행에서도 건강관리를 빼먹어선 안되겠죠</strong></em></p>

<p><em><strong>투어랜드에서 준비한 이벤트!</strong></em></p>

<p><em><strong>금액에 관계없이 패키지 상품을 구매하시는 고객님들께&nbsp;</strong></em></p>

<p><em><strong>선착순 100명 한정으로&nbsp;</strong></em></p>

<p><em><strong>고급 구급키트를 증정해드립니다.&nbsp;</strong></em></p>

<p><em><strong>수량이 한정된 이벤트이기 때문에&nbsp;</strong></em></p>

<p><em><strong>조기종료 될 수 있습니다. 양해 부탁드립니다.&nbsp;</strong></em></p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/9112.jpg"" style=""height:465px; width:700px"" /></p>

<p>상기 이미지는 이벤트 상품과 관련 없음</p>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/9113.jpg"" style=""height:523px; width:700px"" /></p>

<p>&nbsp;</p>

<p>추가 문의 사항 있으시면 고객센터에 문의글을 남겨주세요</p>

<p>&nbsp;</p>

<p>코로나시대!</p>

<p>함께 이겨냅시다</p>

<p>투어랜드가 함께합니다.</p>

<p>&nbsp;</p>

<p><img alt="""" src=""http://localhost:8080/tourland/resources/images/event/911.jpg"" style=""height:487px; width:700px"" /></p>
",/2020/05/13/7a4398ea-b830-4fb2-ad88-1da41cca0279_event2.jpg,"2020-05-01","2020-12-30",
