no,title,content,lcate,mcate
1,예약 후 취소할 경우 수수료는 어떻게 되나요?,"표준약관을 준수하고 있으나 숙소 및 항공사별로 환불규정이 다르기 때문에 상품별 특별 약관이 적용될 수 있습니다.
일정표에 환불규정이 기재되어 있으니 예약시 참고 부탁드립니다.",D,J
2,제주도 여행 예약했는데 개인사유로 취소원합니다. 수수료가 나오나요?,"제주도여행 (패키지상품 및 렌터카 포함) 의 경우, 출발 1주일 전까지 문의주시면
특이한 경우를 제외하고는 수수료 없이 취소 가능합니다.
(단, 연휴기간의 경우 별도규정 적용하며 예약시 안내드립니다.)

예약 취소나 환불요청은 상담원에게 유선상으로 문의해 주셔야 합니다.
(이메일이나 게시판 문의시 접수시점을 취소문의시점으로 간주합니다.)",D,J
3,출발 당일 항공 지연 또는 결항 시 어떻게 해야 합니까?,"항공사의 파업, 기기 점검/고장으로 인한 운항지연(DELAY), 결항(NO OPERATION)은 이렇게 대처하세요.

1) 당일 항공기 운항 가능 여부를 확인합니다. 만약 운항이 안 된다고 할 경우 가능한 다른 항공편이 있는지 발권한 해당 항공사와 체크합니다.
2) 다른 항공편으로 좌석이 가능 하다면 가능한 일정으로 ENDORSEMENT를 항공사로 요청할 수 있습니다.
이때 ENDORSE에 드는 비용은 해당 항공사가 지게 됩니다.
3) 그러나 당일 운항이 가능하다 할지라도 얼마나 지연 되는지를 체크한 후 목적지로 연락하여 호텔이나 식당, 렌터카, 다른 일정 등 문제가 생기지 않도록 조치 하여야 합니다.
4) 항공 지연과 결항시 숙소나 밀 쿠폰 등 보상 내용 규정을 확인하여, 정당하게 권리를 요구 하도록 합니다.  


*ENDORSEMENT(엔돌스먼트)란?
전환승인, 즉 항공권에 지정된 항공사가 아니더라도 타 항공사로 여행이 가능한 행위를 말하며, 항공권의 경우는 ENDORSEMENT가 금지 되지만 항공사 측에서 OVER BOOKING 등으로 DENY BOARDING(DB)이 이루어진 경우는 타 항공사로 양도를 해 주며 선진 항공사의 경우는 이러한 ENDORSE 발생 시 손님에게 PEANLTY CHARGE를 지급하기도 합니다. ",D,J
4,호텔 상품에 조식이 포함되어 있나요?,저희 투어사는 패키지 여행에 포함된 호텔에서 조식을 제공하지 않습니다,D,J
5,항공시간 및 출발지 변경이 가능할까요?,"항공시간 및 출발지 변경은 가능하며 항공요금 차액으로 인해 상품가가 변동될 수 있습니다.
리턴 항공은 20시경으로 작업해야 일정을 소화하는데 무리가 없으며
첫날 일정이 있는 상품의 경우 다른 분들과 비슷하게 첫날 항공시간을 작업해야 첫날 일정을 무리없이 소화하실 수 있습니다.",D,J
6,여행자분이 경로우대 & 국가유공자 & 장애인 등 항공할인대상자입니다. 상품가의 변동이 있나요?,"패키지 상품의 경우 그룹항공(할인항공)을 기준으로 상품가가 책정되어 있습니다.
금요일 및 연휴기간 출발을 제외한 상품은 그룹할인율이 적용되어 있으며,
중복할인이 되지 않으므로 할인율이 높은 부분으로 항공 할인을 적용하여 상품가 조정이 가능합니다.",D,J
7,서울 출발 상품은 있는데 그외 지방 출발은 불가능한가요?,저희 투어사는 인천 공항에서 제주 노선만을 지원하고 있어 서울 이외에서 출발은 불가능합니다,D,J
8,패키지 여행 숙소 변경이 가능한가요?,"버스패키지의 경우 시내권이나 중문권(서귀포권 제외)에 위치한 호텔을 기준으로 변경이 가능하며,
렌트 자유여행의 경우 위치에 상관없이 변경 가능하나 금액 변동 부분은 담당자에게 문의 주시기 바랍니다.",D,J
9,렌터카는 어디에서 인수받고 관광지 안내 책자 및 지도는 어디에서 받아볼 수 있나요?,"렌트카 업체별 차량 인수장소가 다르며 공항주차장 또는 공항인근(5분거리) 렌터카 업체에서 인수/반납 하시면 됩니다. 
관광지 안내 책자 및 지도는 공항안내센터나 고객님 이용하시는 숙소, 렌트카 인수시 수령하시면 됩니다.",D,J
10,렌터카 구매 시 불포함내역에 자차보험이 있는데 자차보험이 무엇이고 요금이 얼마인가요?,"자차보험이란 자기차에 대한 보험이라는 뜻입니다.
내 실수로 내 차가 부서졌을 경우에 보험처리를 하여 수리비를 보험사로부터 받는것인데,
보통 상대방 부주의로 사고가 났다해도 쌍방과실이 적용되니 가입을 권장해 드립니다.
렌트카 회사마다 보험료는 다르게 적용되지만 중형차량 기준 54시간 기준 60,000 원 ~ 75,000 원 사이입니다.
선택사항으로 차량 인수시 가입여부 결정 후 계약서를 작성하시면 됩니다.",D,J
11,제주도 버스패키지 관광 시 몇인승 차량을 탑승하나요?,"기준차량은 30인승 차량이나, 모객현황에 따라서 달라질 수 있으며, 출발 1일 전 확인이 가능합니다.
(택시 - 승합차 - 30인승)",D,J
12,제주도 버스 패키지 관광시 비가 오거나 날씨가 좋지 않으면 어떻게 되나요?,"기상이 너무 안 좋아서 관광이 불가능한 경우를 제외하고 행사진행이 되고 있으며,
현지에서 상황에 따라 변경 가능한 대체일정으로 진행됩니다.",D,J
13,제주도 상품에서 현지옵션을 미리 결제할 수 없을까요?,"선결제는 가능하지만, 현지 사정이나 기상이변에 따라 옵션 진행이 원할하지 않은 경우가 발생하므로
옵션은 현지지불을 추천합니다.",D,J
14,예약을 취소하려고 합니다,"예약 취소 시에는 취소 시점 및 상품에 따라 취소 수수료가 상이하게 적용 되는 점 참고 부탁 드립니다.
예약 하신 상품의 취소 수수료는 투어랜드 로그인 후 [마이페이지>예약확인/결제 페이지] 접속 후 상품명을 클릭 하신 뒤
상품 상세 페이지 하단 취소료 규정에서 확인 하실 수 있습니다.


취소 관련 상담을 원하시는 경우 투어랜드 공식예약인증센터 상담사에게 연락 부탁드립니다.",I,P
15,동일한 일정의 상품의 가격이 날짜에 따라 차이가 나는 이유는 무엇인가요?,"여러 가지 요인이 있을 수 있으나 이는 공급과 수요의 법칙에 의하여 설명드릴 수 있습니다.
예를 들어 할인점 같은 경우도 공급과 수요에 따라 같은 상품이지만 가격을 낮추거나 덤으로 넣어서 팔기도 합니다.
상품가격 중 가장 큰 부분을 차지하는 부분은 항공 요금입니다.
항공요금이라는 것은 탑승객이 많은 날과 그렇지 않은 날을 통계적으로 계산해서 같은 구간이라도 요일/날짜에 따라 요금이 다르게 적용되는 경우가 많습니다. 현지호텔 또한 날짜와 요일에 따라 요금이 상이한 경우가 많고, 그 외 팁/옵션/호텔수준/차량수준 등에 의해 요금이 차이가 날 수 있습니다.
이런 모든것들의 변동이 상품가격의 차이를 발생시키고 있습니다.",I,P
16,예약금을 낸 후 나머지 잔액은 언제까지 내야 하죠?,"여행 상품을 선택 하신 후 보통의 경우 상품가의 10%에 해당 하는 계약금을 입금 하면 계약이 성립 됩니다.
계약시에는 여행사로부터 일정표와 여행약관, 계약서를 받으셔야 합니다.

특별한 경우를 제외하면 출발일 일주일 전쯤 완납 요청을 받게 됩니다.
예약금을 입금한 후 나머지 잔액에 대한 안내는 예약시 선정된 공식인증예약센터를 통해 이루어 집니다.",I,P
17,선택 관광은 꼭 해야 하는건가요?,"선택관광은 필수가 아닌 고객님의 선택사항입니다.
선택사항은 투어랜드 홈페이지 로그인 후 [마이페이지>예약확인/결제] 페이지 접속 후 상품명을 클릭하신 뒤
상품 상세 페이지 하단에 기재되어 있습니다.
선택관광은 현지 사정 및 가이드 일정에 따라 변경될 수 있는 점 참고 부탁드립니다.
보다 자세한 상담을 원하시는 경우 투어랜드 상담사와 상담 부탁드립니다",I,P
18,여행 경비는 얼마정도 가져가야 할까요?,"패키지 여행일 경우 상품가에 포함 되어 있지 않은 사항을 확인 하시고 여행 일수 별로 개인 경비를 준비하시면 됩니다.
또 현지에서 상품가에 포함 되어 있지 않은 선택관광이나 쇼핑을 원하실 할 경우 그 비용을 추가로 준비 하시면 됩니다.
쇼핑의 경우에는 대부분 카드 결제도 가능 합니다.",I,P
19,세 명이 여행할 경우 함께 방을 쓸 수 있나요? 아니면 방을 두개 써야 하나요?,"세분이 함께 여행하실 경우 다음과 같이 방을 사용하실 수 있습니다.

1. 세분이 함께 쓰시는 방 (트리플룸)
2. 일반 2인실 룸에 보조침대를 놓는 경우
3. 일반 2인실 룸과 싱글 차지를 지불한 싱글 룸, 또는 홀로 여행을 하는 다른 분과 함께 방 배정

기본적인 조건은 상기와 같이 나누어 볼 수 있습니다만, 지역/도시에따라 상황이 많이 다를 수 있습니다. 예를 들어 작은방을 사용하는 유럽 같은 곳에서는 보조침대를 이용하여 세분이 사용하시기에는 불편합니다. 따라서 상품 예약시 원하는 룸의 타입이 예약가능한지 확인이 필요합니다.",I,P
20,대기 예약이라고 하면 예약이 어떻게 된 건가요?,"패키지여행의 경우 일정 인원 이상 즉, 최소출발인원이 모여야만 출발이 가능합니다.

현재 예약된 인원이 최소출발인원에 모자라는 경우 다 채워져 출발이 확정될 때까지는 대기예약 상태가 됩니다. 또, 예약가능인원을 넘은 경우 예약을 하게 되면 이미 예약하신 분이 취소하기 전까지 혹은 현지 항공편, 호텔 등을 추가로 확보하게 될 때까지 대기예약이 됩니다.

대기 예약에서 예약이 확정된 경우 고객님께서 지정한 도우미 여행사에서 개별로 연락 드리며, 또 도우미 여행사를 통하여 예약 확정 여부 확인이 가능합니다.",I,P
21,패키지 여행 일정에 '자유여행'이 있는데 그때는 무엇을 하나요?,"최근에는 각종 인터넷, 소셜네트워크, 여행 책자 등을 통해 수집한 정보로 자신만의 여행을 준비하며 색다른 여행의 즐거움을 찾으시는 분들이 계속적으로 증가하고 있습니다.
이런 트렌트을 반영하여 자유여행의 불편함이 없는 몇몇 지역에 한 하여 1일 자유 일정으로 패키지 상품을 판매함으로써, 자유여행과 패키지 여행의 장점을 적절히 접목하여 운영 하고 있습니다.

자유일정 동안에는 인솔자나 가이드가 동반 되지 않으며, 고객님께서 원하시는 관광지를 개별적으로 자유롭게 관광 하시면 됩니다.
대부분의 자유일정에는 현지투어, 선택관광 프로그램이 구비 되어 있으며, 선택관광을 이용하시면 가이드를 통한 관광이 가능합니다.",I,P
22,혼자서 패키지 여행에 참여하고 싶은데요. 이럴 경우 추가비용이 있나요?,"대부분 패키지 여행상품의 경우 2인 1실 사용 조건으로 상품가격이 책정되어 있으므로 홀로 여행하시는 경우 상품가격 이외에 별도의 싱글 차지를 지불하셔서 객실을 홀로 사용하시던지, 출발일자가 동일한 같은 패키지 상품으로 홀로 여행을 하는 또 다른 (동성) 고객 분이 있는 경우에는 같은 방을 배정해드릴 수 있습니다. 이경우에는 추가비용이 발생하지 않습니다.",I,P
23,패키지 여행이란 무엇을 말하는 건가요?,"여행사에서 미리 세팅해놓은 항공권, 관광일정, 숙박, 식사, 교통 등을 이용하여 여행하는 것을 패키지 여행이라고 합니다. 보통 10명 ~ 15명이 한 팀이 되어 단체로 관광을 하기 때문에 개인적으로 가시는 여행보다 저렴하게 여행하실 수 있습니다.",I,P
24,최소 출발 인원이 안 되는 경우는 어떻게 되나요?,패키지 여행은 단체 여행이기 때문에 출발일까지 최소 출발 인원이 채워지지 않는 경우 다른 날로 상품을 변경하시거나 혹은 여행상품이 취소될 수 있습니다.,I,P
25,패키지 여행 중 쇼핑한 물품을 환불받고 싶습니다,"해외 여행시 US$600 초과 구입한 물품은 입국시 관세가 부과될 수 있으니, 물품 구매시 신중한 선택 바랍니다.
구입하신 물품은 해외구매의 특성상 교환 및 환불이 쉽지 않으니 신중한 구매 부탁드립니다.

■ 물품의 교환 및 환불은 물품 수령 후 30일 이내에만 가능합니다.
  - 환불 필요서류: 영수증 원본, 반품 물건, 고객명, 연락처
  - 단, 구입한 물품에 따라 추가 증명서류 첨부(진단서, 보석감정서 등)
■ 단순변심 또는 개봉 후 사용하거나 훼손된 경우 교환 및 환불은 불가합니다. (단, 물품의 하자로 확인된 경우 제외)
■ 교환 및 환불은 물품의 쇼핑센터 도착 시점으로부터 1~6개월 정도 소요되며, 교환 및 환불에 소요되는 모든 비용은 고객님 부담입니다. (국내외 배송비 및 관세 포함)
■ 지정된 쇼핑센터가 아닌 곳에서 구매한 물품의 환불은 고객님이 직접 처리하셔야 하오니 이점 양해 부탁드립니다.

■ 교환 및 환불 접수는 투어랜드 고객센터 대표번호 또는 투어랜드 고객의소리 게시판(온라인 접수)을 이용해 주시기 바랍니다.",I,P
26,패키지 여행 시 항공권 upgrade가 가능한가요?,"패키지 상품의 항공권은 모두 이코노미석 기준의 단체 항공권입니다.
비즈니스석을 원하실 경우에는 예약 시 미리 말씀해 주시고 고객님께서 차액을 부담하면 upgrade가 가능합니다.
마일리지를 보유하고 있는 경우에는 마일리지를 사용한 upgrade도 가능합니다.

단 상품에 따라 항공권 upgrade가 불가한 경우도 있으니 도우미 여행사를 통해 가능 여부 확인을 부탁드립니다.",I,P
27,패키지 일정을 함께 관광하고 나서 돌아올 때만 일정 변경이 가능한가요?,이용하시는 패키지 항공권 규정에 따라 달라집니다. 그 규정에 따라 일부 상품은 추가 비용을 지불하셔야 돌아오는 일정 변경이 가능합니다. 규정은 해당 패키지 상품 일정표에서 확인 가능합니다.,I,P
28,마일리지가 있어 무료로 항공을 이용할 수 있는데 현지 관광에만 참여할 수 있나요?,가시고자 하는 상품이 이미 출발 확정 되어 있다면 현지행사만 참여 가능하십니다. 하지만 최소출발인원에 모자라거나 가시고자 하는 날 출발하는 상품이 없다면 참여하실 수 없습니다.,I,P
29,저는 지방에 살고 있는데 지방에서 출발하는 상품이 있나요?,아니오 없습니다 코로나 19 영향으로 저희 투어랜드에서는 서울 출발하는 상품만 신청이 가능합니다 참고해주세요,I,P
30,비자가 필요한 나라일 경우 비자 수속은 개인이 하나요? 아니면 대행해주나요?,"투어랜드 여행상품을 예약하신 모든 고객님께 비자 수속대행을 해드리고 있습니다. 

예약하실 때 선택하셨던 도우미 여행사 통해서 구비서류를 전달해 주시면 가능합니다.
해당 여행지역의 여권과 비자에 대한 정보는 선택하신 상품의 일정표에서 확인하실 수 있습니다.",I,V
31,여권의 영문과 항공권의 영문이 틀립니다 어떻게 하지요?,"항공사에 변경을 요청하여 수정이 가능합니다만, 예외인 항공사도 있습니다.

수정이 안될 시에는 취소후 좌석을 다시 요청/예약하셔야 합니다.
영문 변경으로 항공권을 재발행 시에는 수수료를 내는 경우도 발생하오니,
반드시 여권을 확인하셔서 정확한 영문이름으로 예약 하시기 바랍니다.",I,V
32,여권번호 & 만료기간 수정 및 등록 어떻게 하나요?,"여권 정보는 고객님께서 직접 투어랜드 홈페이지를 통해 확인 가능합니다.



※ 홈페이지 확인 경로

투어랜드 우측 상단 '로그인' 메뉴 클릭 후

■ 회원 로그인 → 마이페이지 → 예약내역→ 예약번호 클릭 → 정보수정",I,V
33,여권 상 영문 명의 하이픈(-)이나 띄어쓰기 그대로 표기하면 되나요?,"여권 상에 기재되어 있더라도 하이픈(-), 띄어쓰기 없이 정확한 영어 철자 입력 부탁드립니다.",I,V
34,여권번호 & 만료기간 수정 및 등록 올바르게 하였는지 확인할 수 있나요?,"여권 정보는 고객님께서 직접 하나투어 닷컴 홈페이지를 통해 확인 가능합니다.



※ 홈페이지 확인 경로

하나투어 닷컴 우측 상단 '로그인' 메뉴 클릭 후

■ 회원 로그인 → 마이페이지 → 예약내역→ 예약번호 클릭 → 정보수정",I,V
35,비자 대행해 줄 때 수수료를 지불해야 하나요?,"현재 도우미여행사에 따라 하나투어 패키지 상품을 구매한 경우에 수수료를 면제하는 곳도 있고, 경우에 따라 별도의 수수료를 받는곳이 있습니다.
 
도우미 여행사별로 수수료 유무를 별도로 확인하여 주시길 바랍니다",I,V
36,외국인으로 한글 이름이 없을 때는 어떻게 하나요?,외국인의 경우 여권 상 기재되어 있는 영문명으로 입력하시면 됩니다.,I,V
37,화와이도 비자가 필요한가요?,"하와이도 미국의 본토와 마찬가지로 50주중에 하나이므로 비자가 필요합니다.
ESTA를 받으시거나, 예전대로 인터뷰를 받으셔야 입국이 가능합니다.",I,V
38,미국 무비자(ESTA)체크 사항 및 기타사항,"미국을 경유 및 목적지인 경우 반드시 미국 ESTA 전자여행허가서를 발급받아야 합니다.
해당조건은 귀하가 현재 방문 비자를 가지고 있지 않아야 합니다.
여행기간이 90일 이하여야 하며 귀하의 미국 방문 목적이 사업상 혹은 관광 목적이어야 합니다. 
""전자여권을 소지후"" 비자면제프로그램을 이용하기 위해서는 전자여행허가(ESTA) 홈페이지(https://esta.cbp.dhs.govhttps://esta.cbp.dhs.gov/"">https://esta.cbp.dhs.gov>)에서 온라인 신청서를 작성 후 승인을 받으셔야 합니다.
미주지역으로 여행하시는 고객 중 일반여권 소지자는 반드시 비자를 소지해야하며 전자여권 소지자는 전자여행허가(ESTA) 를
통해 승인받으시고 신청번호를 승인받은후 반드시 승인번호를 반드시 출력하시여 여행시 지참하셔야 합니다.",I,V
39,단수여권 소지 고객님은 중국 심천 입국시 주의해주세요!,"단수여권 소지자 및 새터민(탈북자) 주민번호 뒷자리(125-, 225-, 325-, 425-)는 심천입국시 단체비자로 불가하오니 개인비자 유무 꼭 확인하시기 바랍니다.

관용여권이신 분은 심천입국시 무비자로 가능하나 현지에서 비자가 중복접수 되어 문제가 될수있으니 사전에 꼭 알려주시기 바랍니다.

중국 개인비자를 소지 하신 분은 심천에서 도착비자 발급 시에 중복접수가 불가하므로 개인비자를 사용하셔야 하고 출발 전 상담원에게 개인비자 소지여부를 반드시 알려주시기 바랍니다.",I,V
40,환전은 어떻게 해야 하나요?,"환전을 하실 때에는 하나투어닷컴 내 이벤트 페이지 하단의 환전 수수료 할인 쿠폰을 이용하시면 보다 저렴하게 환전이 가능하십니다. 환전을 하실 때에는 기본적으로 유럽, 미주, 호주, 일본, 괌/사이판과 같은 국가는 해당 국가의 화폐로 환전하는 것이 좋지만, 동남아는 달러를 준비해 가시면 됩니다.(단, 패키지 여행의 경우입니다.) 동남아지역은 달러가 통용이 되며, 간식비 정도의 작은 금액은 현지에서 현지 화폐로 조금 바꿔서 사용하시면 됩니다.",I,V
41,현지에서 옵션 가격 지불할 때 카드를 사용할 수 있나요? 현금으로 지불해야 한다면 현지통화를 준비해야 하는건지 달러를 지불하여야 하는건지 궁금합니다,"현지에서 직접 선택해서 즐기실 수 있는 선택관광은 카드 사용이 불가능하고, 대부분의 경우 미국 달러로 지불합니다. 간혹 다른 화폐를 사용하셔야 한다면 내용과 비용이 일정표에 명시되어 있습니다. 따라서 일정표 상의 선택관광을 확인하신 후 이에 맞는 적당한 금액의 환전을 하셔야 합니다.",I,V
42,해외에서 카드 사용시 환율은?,"해외에서 카드를 사용할 경우 환율적용시점을 알아두면 유용합니다.
삼성과 LG카드,BC카드등은 거래명세가 해당회사에 접수되는날의 환율을 적용합니다.
반면 현대카드는 거래일자의 환율을 적용하고 있습니다.
환율이 오르는 추세라면 현대카드가, 그 반대라면 삼성이나 LG카드,BC카드가 유리합니다.

세계 어느 나라에서 사용하시더라도 모든 거래금액은 미 달러화로 전환 후 원화로 청구됩니다.
예를 들어 유럽에서 유로화로 결제하실 경우 미화로 전환하여 청구됩니다.

해외에서 카드를 분실하면 최대한 빨리 해당카드사에 신고하는 것이 중요합니다.
이를 위해서는 출국전에 미리 카드사의 긴급연락처를 메모해두는것이 좋습니다.
또 장기체류자가 해외에서 카드를 분실하였을경우 현지에서 긴급 대체카드 발급을
신청하면 이틀내에 새로운 카드를 발급받을 수 있습니다.",I,V
43,유럽에서 쓰는 화폐(통화)는?,"EU 회원국 중에 유로화를 사용하는 국가는 오스트리아, 벨기에, 키프로스, 에스토니아, 핀란드, 프랑스, 독일, 그리스, 아일랜드, 이탈리아, 룩셈부르크, 몰타, 네덜란드, 포르투갈, 슬로바키아, 슬로베니아, 스페인입니다. 영국, 덴마크, 스웨덴은 유로화 사용 미참가국입니다.

그 외의 국가에서도 자체 화폐 외에도 유로화와 달러가 모두 통용되고 있습니다.
단, 단체관광 시에는 추가 발생하는 액수가 적으므로 유로화로 환전을 하신 후 현지에서 필요한 만큼의 화폐를 환전하시어 사용하시면 편안하십니다. 그밖에 봉사료도 유로화로 지불하시면 됩니다.",I,V
